,Price,Change %,Volx1M
731,0.002966,-6.29,4770.0
732,0.003029,2.11,3100.0
733,0.003083,1.79,2880.0
734,0.003148,2.1,2710.0
735,0.003101,-1.5,2470.0
736,0.002988,-3.63,2770.0
737,0.003074,2.88,2970.0
738,0.003057,-0.55,2590.0
739,0.003073,0.51,3150.0
740,0.003079,0.21,3180.0
741,0.003105,0.85,2970.0
742,0.003132,0.85,3610.0
743,0.00318,1.54,4140.0
744,0.00319,0.33,3270.0
745,0.003105,-2.68,3270.0
746,0.00314,1.15,2550.0
747,0.003106,-1.09,2570.0
748,0.003259,4.94,3150.0
749,0.00331,1.55,4990.0
750,0.00331,0.0,3240.0
751,0.003344,1.01,3040.0
752,0.003349,0.16,2820.0
753,0.0034,1.51,5400.0
754,0.003383,-0.51,7290.0
755,0.003415,0.96,5310.0
756,0.003371,-1.31,2900.0
757,0.003279,-2.7,2910.0
758,0.00327,-0.27,3130.0
759,0.003162,-3.31,3230.0
760,0.003343,5.72,2420.0
761,0.00318,-4.88,2730.0
762,0.003857,21.3,11990.0
763,0.003521,-8.71,3750.0
764,0.00358,1.65,2330.0
765,0.003466,-3.19,1950.0
766,0.003493,0.8,2380.0
767,0.003398,-2.74,3400.0
768,0.003244,-4.52,3120.0
769,0.003356,3.44,2170.0
770,0.003286,-2.08,2070.0
771,0.002963,-9.83,3080.0
772,0.003091,4.33,3710.0
773,0.002791,-9.71,3860.0
774,0.002898,3.83,3540.0
775,0.003114,7.47,2880.0
776,0.003039,-2.42,1870.0
777,0.003108,2.25,2040.0
778,0.003078,-0.94,1920.0
779,0.003013,-2.13,2420.0
780,0.002882,-4.33,2200.0
781,0.002902,0.69,3290.0
782,0.002949,1.62,2250.0
783,0.00295,0.02,1890.0
784,0.002863,-2.95,2430.0
785,0.002869,0.21,2140.0
786,0.002838,-1.07,2090.0
787,0.00277,-2.4,1760.0
788,0.002897,4.6,2250.0
789,0.002929,1.08,1850.0
790,0.002914,-0.48,2150.0
791,0.002922,0.24,1950.0
792,0.002938,0.56,1820.0
793,0.003047,3.72,2940.0
794,0.002952,-3.13,2270.0
795,0.002961,0.29,2220.0
796,0.002933,-0.92,2130.0
797,0.0029,-1.13,2380.0
798,0.002805,-3.27,2370.0
799,0.002909,3.68,2210.0
800,0.002883,-0.88,2340.0
801,0.002856,-0.93,2240.0
802,0.002789,-2.35,2690.0
803,0.002667,-4.37,2940.0
804,0.002726,2.2,2310.0
805,0.002687,-1.41,1980.0
806,0.002748,2.26,2720.0
807,0.002814,2.41,1950.0
808,0.002773,-1.46,2040.0
809,0.002689,-3.05,2450.0
810,0.002758,2.57,2240.0
811,0.002748,-0.37,1970.0
812,0.002705,-1.54,2070.0
813,0.002719,0.52,1940.0
814,0.002714,-0.18,2009.9999999999998
815,0.002676,-1.41,1940.0
816,0.002579,-3.63,2090.0
817,0.002495,-3.25,2340.0
818,0.002538,1.73,1890.0
819,0.002679,5.54,2040.0
820,0.002572,-3.99,2040.0
821,0.002637,2.54,2070.0
822,0.002623,-0.53,2650.0
823,0.00289,10.15,2560.0
824,0.002512,-13.06,2400.0
825,0.002572,2.37,2510.0
826,0.002536,-1.38,2740.0
827,0.00258,1.74,2510.0
828,0.002481,-3.83,3060.0
829,0.002478,-0.12,2420.0
830,0.00246,-0.73,2050.0
831,0.002462,0.05,2029.9999999999998
832,0.002471,0.37,1840.0
833,0.002476,0.2,2200.0
834,0.002517,1.69,2190.0
835,0.002502,-0.63,2370.0
836,0.002617,4.62,2560.0
837,0.002746,4.93,2860.0
838,0.002739,-0.25,3100.0
839,0.002725,-0.51,2110.0
840,0.002681,-1.62,2170.0
841,0.002649,-1.2,2430.0
842,0.002583,-2.48,2170.0
843,0.002255,-12.73,5290.0
844,0.002263,0.38,3830.0
845,0.002215,-2.1,3260.0
846,0.002332,5.27,3220.0
847,0.002312,-0.89,3410.0
848,0.002299,-0.54,3180.0
849,0.002418,5.16,3910.0
850,0.002444,1.08,2670.0
851,0.002415,-1.15,1930.0
852,0.002387,-1.17,2340.0
853,0.002563,7.35,2560.0
854,0.002399,-6.39,2710.0
855,0.002512,4.74,2810.0
856,0.002527,0.59,3250.0
857,0.002431,-3.83,2860.0
858,0.002445,0.6,3140.0
859,0.002385,-2.46,2600.0
860,0.002369,-0.69,2810.0
861,0.002383,0.63,2720.0
862,0.002465,3.44,3930.0
863,0.002564,4.01,3250.0
864,0.002548,-0.62,3130.0
865,0.002583,1.38,3250.0
866,0.002755,6.63,4510.0
867,0.002753,-0.06,3700.0
868,0.002788,1.26,2860.0
869,0.0028,0.43,3070.0
870,0.002704,-3.43,1990.0
871,0.002578,-4.63,1900.0
872,0.002548,-1.18,3940.0
